spatial_scale,location,disease,disease_name_clean,variable_type,variable,clean_name_full,clean_name_abb,on_right_axis,data_source,convert_percent,definition,binning,cohort,file
NA,NA,NA,NA,general_term,Target Data,Target Data,Target Data,NA,NA,NA,"The data source used to represent the outcome measure that the forecast is designed to estimate or predict. Target data typically represent the reference or 'ground truth' and may include surveillance counts, laboratory-confirmed cases, hospitalizations, or other public health indicators used for evaluation and decision-making.",NA,NA,NA
NA,NA,NA,NA,general_term,Implementation Model,Implementation Model,Implementation Model,NA,NA,NA,"The finalized, post-training version of a forecasting model. Once trained and validated, the implementation model is applied in an operational setting to generate routine projections without further parameter tuning.",NA,NA,NA
NA,NA,NA,NA,general_term,Current Projections,Current Projections,Current Projections,NA,NA,NA,Forward-looking values generated by the implementation model beyond the most recent observed week. Projections represent expected future outcomes under the assumption that recent trends and model conditions continue and are accompanied by uncertainty.,NA,NA,NA
NA,NA,NA,NA,general_term,Historical Estimates,Historical Estimates,Historical Estimates,NA,NA,NA,"Model-generated estimates for past time periods produced after training, validation, and testing have concluded. Historical estimates are used to assess model fit, stability, and alignment with observed data but are not intended for real-time operational decisions.",NA,NA,NA
NA,NA,NA,NA,general_term,Evaluation Model,Evaluation Model,Evaluation Model,NA,NA,NA,"A version of the forecasting model used during the training process to assess performance, uncertainty, and stability using historical data. The evaluation model supports model selection, parameter tuning, and validation and is not used to generate operational projections.",NA,NA,NA
NA,NA,NA,NA,general_term,Horizon,Horizon,Horizon,NA,NA,NA,"The number of time steps into the future for which forecasts are generated from each historical forecast origin when evaluating model performance, uncertainty, and stability.",NA,NA,NA
NA,NA,NA,NA,general_term,Training Period,Training Period,Training Period,NA,NA,NA,"The historical data window over which model parameters are estimated and structural relationships are learned. Data from the training period are used exclusively for model fitting, while data for the subsequent validation and testing periods are held out to evaluate model behavior and performance.",NA,NA,NA
NA,NA,NA,NA,general_term,Validation Period,Validation Period,Validation Period,NA,NA,NA,"The historical data window reserved for evaluating model behavior after training. The validation period is used to compare candidate models, tune parameters, and assess uncertainty while remaining separate from both the training and testing periods.",NA,NA,NA
NA,NA,NA,NA,general_term,Testing Period,Testing Period,Testing Period,NA,NA,NA,The historical data window reserved for final model evaluation after training and validation are complete. The testing period serves to assess how the finalized model performs on unseen data.,NA,NA,NA
NA,NA,NA,NA,general_term,Auxiliary Variables,Auxiliary Variables,Auxiliary Variables,NA,NA,NA,Observed variables and auxiliary datasets incorporated into the model to provide additional information beyond the primary outcome.,NA,NA,NA
NA,NA,NA,NA,general_term,Auxiliary Variables (CDC Adjusted),Auxiliary Variables (CDC Adjusted),Auxiliary Variables (CDC Adjusted),NA,NA,NA,Observed variables and auxiliary datasets incorporated into the model to provide additional information beyond the primary outcome. CDC-derived variables are population-adjusted to best reflect values at the geographic scale presented.,NA,NA,NA
national,US,influenza,Influenza,data_source,CDC(NHSN),CDC National Healthcare Safety Network (NHSN),CDC(NHSN),NA,NA,NA,NA,NA,NA,NA
national,US,influenza,Influenza,outcome,Total.Influenza.Admissions,Total Influenza Admissions,Total Influenza Admissions,NA,CDC(NHSN),NA,Total number of new hospital admissions of patients with confirmed influenza captured during the reporting week (Sunday - Saturday).,NA,NA,C:/Users/ambleic/Downloads/target-hospital-admissions (6).csv
state,45,influenza,Influenza,data_source,CDC(NHSN),CDC National Healthcare Safety Network (NHSN),CDC(NHSN),NA,NA,NA,NA,NA,NA,NA
state,45,influenza,Influenza,outcome,Total.Influenza.Admissions,Total Influenza Admissions,Total Influenza Admissions,NA,CDC(NHSN),NA,Total number of new hospital admissions of patients with confirmed influenza captured during the reporting week (Sunday - Saturday).,NA,NA,C:/Users/ambleic/Downloads/target-hospital-admissions (6).csv
